,lema,animacy,gender,finale,n_syll,soft0
379,дом,1,1,м,1,1
380,клуб,1,1,б,1,1
381,колхоз,1,1,з,2,1
382,кресло,1,0,л,1,1
383,кресло,1,0,л,1,1
384,декабрь,1,1,р',2,0
385,принцип,1,1,п,2,1
386,ландех,1,1,х,2,1
387,район,1,1,н,2,1
388,клуб,1,1,б,1,1
389,кресло,1,0,л,1,1
390,кресло,1,0,л,1,1
391,садик,1,1,к,2,1
392,лифт,1,1,т,1,1
393,лифт,1,1,т,1,1
394,этаж,1,1,ж,2,1
395,дом,1,1,м,1,1
396,стол,1,1,л,1,1
397,дом,1,1,м,1,1
398,клуб,1,1,б,1,1
399,магазин,1,1,н,3,1
400,магазин,1,1,н,3,1
401,клуб,1,1,б,1,1
402,село,1,0,л,1,1
403,дерево,1,0,в,2,1
404,дерево,1,0,в,2,1
405,поле,1,0,л',1,0
406,лесничество,1,0,в,3,1
407,достаток,1,1,к,3,1
408,колхоз,1,1,з,2,1
409,огород,1,1,д,3,1
410,случай,1,1,й,2,1
411,дом,1,1,м,1,1
412,дом,1,1,м,1,1
413,место,1,0,т,1,1
414,июль,1,1,л',2,0
415,сундук,1,1,к,2,1
416,сундук,1,1,к,2,1
417,магазин,1,1,н,3,1
418,крыльцо,1,0,ц,1,1
419,село,1,0,л,1,1
420,магазин,1,1,н,3,1
421,магазин,1,1,н,3,1
422,магазин,1,1,н,3,1
423,плечо,1,0,ч,1,1
424,плечо,1,0,ч,1,1
425,стол,1,1,л,1,1
426,стол,1,1,л,1,1
427,пупок,1,1,к,2,1
428,яичко,1,0,к,2,1
429,порядок,1,1,к,3,1
430,закат,1,1,т,2,1
431,роддом,1,1,м,2,1
432,магазин,1,1,н,3,1
433,колхоз,1,1,з,2,1
434,колхоз,1,1,з,2,1
435,потолок,1,1,к,3,1
436,потолок,1,1,к,3,1
437,колхоз,1,1,з,2,1
438,волокобино,1,0,н,4,1
439,дом,1,1,м,1,1
440,крыльцо,1,0,ц,1,1
441,крыльцо,1,0,ц,1,1
442,село,1,0,л,1,1
443,дело,1,0,л,1,1
444,город,1,1,д,2,1
445,солнышко,1,0,к,2,1
446,вид,1,1,д,1,1
447,вид,1,1,д,1,1
448,район,1,1,н,2,1
449,дом,1,1,м,1,1
450,дом,1,1,м,1,1
451,волокобино,1,0,н,4,1
452,костюм,1,1,м,2,1
453,тарантас,1,1,с,3,1
454,дом,1,1,м,1,1
455,костюм,1,1,м,2,1
456,костюм,1,1,м,2,1
457,дом,1,1,м,1,1
458,дом,1,1,м,1,1
459,порядок,1,1,к,3,1
