,word,lema,animacy,gender,finale,n_syll,preposition,context
709,тракторе,трактор,inan,masc,р,2,на,"И тогда ( тады ) поехал в Гуту , с девками , и на тракторе обернулся [ нрзб ] с моста"
710,лесничестве,лесничество,inan,neut,в,3,в,"Ну в , этот ( этый ) , в лесничестве работали"
711,Мироторге,мироторг,inan,masc,г,3,в,"Они в Мироторге работают , ну и всё нормально , тихо , спокойно и никаких вопросов"
712,месте,место,inan,neut,т,1,в,"Как получается , девчата , иногда познакомишься то в одном месте , то в другом"
713,техникуме,техникум,inan,masc,м,3,в,"То в тех = , я , например , познакомилась , в техникуме учились"
714,городе,город,inan,masc,д,2,в,Там в городе они там пошли на дискотеку
715,ресторане,ресторан,inan,masc,н,3,в,в ресторане
716,доме,дом,inan,masc,м,1,в,"Нам вчера тоже в доме , они в десятиэтажном живут"
717,городе,город,inan,masc,д,2,в,"ну в городе , конечно"
718,городе,город,inan,masc,д,2,в,И в городе так самое
719,магазине,магазин,inan,masc,н,3,в,"В магазине , если вынесу , и соль , нет"
720,шейке,шейк,inan,masc,к,1,на,"Ну , и на шейке обязательно крестик , и в ручках крестик"
721,платочке,платочек,inan,masc,к,3,в,"переодевать или что - то , рядышком платочек , она ж в платочке"
722,столе,стол,inan,masc,л,1,на,"А как таковой , не такая постелька , где мы спим , а именно на столе"
723,столе,стол,inan,masc,л,1,на,"Нет - нет , на столе дома , где она умер = , да , да - да - да"
724,столе,стол,inan,masc,л,1,на,"На столе , да , да - да - да , на сто = . ."
725,зале,зал,inan,masc,л,1,в,"Нет - нет - нет , ну , где обычно , то ли в спальне , в зале , как , ну"
726,зале,зал,inan,masc,л,1,в,"не обязательно в зале , может , и в спальне , может , и ещё"
727,городе,город,inan,masc,д,2,в,"А в городе , это в деревне у нас тут нету особенно"
728,городе,город,inan,masc,д,2,в,"А в городе вон сколько разных случаев , что и . ."
729,доме,дом,inan,masc,м,1,в,"Мож = , я даже и не слышу , даже тут , мне кажется , может , в доме кто и спорит"
730,городе,город,inan,masc,д,2,в,"Ну и всё , а в городе уже , господи"
731,случае,случай,inan,masc,й,2,во,"ну , во всяком случае смотрели"
732,подоле,подол,inan,masc,л,2,в,Смотри в подоле не принеси
733,подоле,подол,inan,masc,л,2,в,"В подоле не принеси , значит , что - то ж было , это значит в подоле ребёнок"
734,подоле,подол,inan,masc,л,2,в,"В подоле не принеси , значит , что - то ж было , это значит в подоле ребёнок"
735,подоле,подол,inan,masc,л,2,в,"Так что вот , вот это было , в подоле , это точно было , в подоле гляди не принеси"
736,подоле,подол,inan,masc,л,2,в,"Так что вот , вот это было , в подоле , это точно было , в подоле гляди не принеси"
737,подоле,подол,inan,masc,л,2,в,"каждый смеяться , вот это говорили , в подоле , это точно"
