,lema,animacy,gender,finale,n_syll,accent,soft0
214,оклад,1,1,д,2,0,1
215,число,1,0,л,1,0,1
216,колхоз,1,1,з,2,0,1
217,огород,1,1,д,3,0,1
218,август,1,1,т,2,0,1
219,пруд,1,1,д,1,1,1
220,пруд,1,1,д,1,1,1
221,клуб,1,1,б,1,1,1
222,август,1,1,т,2,0,1
223,место,1,0,т,1,0,1
224,дом,1,1,м,1,1,1
225,август,1,1,т,2,0,1
226,август,1,1,т,2,0,1
227,шифоньер,1,1,р,3,0,1
228,поле,1,0,л',1,0,0
229,палец,1,1,ц,2,0,1
230,совхоз,1,1,з,2,0,1
231,сундук,1,1,к,2,0,1
232,завод,1,1,д,2,0,1
233,двор,1,1,р,1,0,1
234,город,1,1,д,2,0,1
235,окно,1,0,н,1,0,1
236,ручей,1,1,й,2,0,1
237,склад,1,1,д,1,1,1
238,решето,1,0,т,2,0,1
239,солнышко,1,0,к,2,0,1
240,мечек,1,1,к,1,0,1
241,крыльцо,1,0,ц,1,0,1
242,стул,1,1,л,1,0,1
243,клуб,1,1,б,1,1,1
244,село,1,0,л,1,0,1
245,место,1,0,т,1,0,1
246,магазин,1,1,н,3,0,1
247,дом,1,1,м,1,1,1
248,дом,1,1,м,1,1,1
249,амбар,1,1,р,2,0,1
250,март,1,1,т,1,0,1
251,район,1,1,н,2,0,1
252,колодезь,1,1,з',3,0,0
253,техникум,1,1,м,3,0,1
254,класс,1,1,с,1,0,1
255,село,1,0,л,1,0,1
256,город,1,1,д,2,0,1
257,асфальт,1,1,т,2,0,1
258,начало,1,0,л,2,0,1
259,район,1,1,н,2,0,1
260,август,1,1,т,2,0,1
261,конь,1,1,н',1,0,0
262,институт,1,1,т,3,0,1
263,конь,1,1,н',1,0,0
264,конь,1,1,н',1,0,0
265,дом,1,1,м,1,1,1
266,совет,1,1,т,2,0,1
267,февраль,1,1,л',2,0,0
268,февраль,1,1,л',2,0,0
269,сентябрь,1,1,р',2,0,0
270,февраль,1,1,л',2,0,0
271,сентябрь,1,1,р',2,0,0
272,вербилово,1,0,в,3,0,1
273,порог,1,1,г,2,0,1
274,коровник,1,1,к,3,0,1
275,транспонтёр,0,1,р,3,0,1
276,колхоз,1,1,з,2,0,1
277,транспонтёр,0,1,р,3,0,1
278,водоворот,1,1,т,4,0,1
279,мечек,1,1,к,1,0,1
280,пруд,1,1,д,1,1,1
281,апрель,1,1,л',2,0,0
282,курс,1,1,с,1,0,1
283,зал,1,1,л,1,0,1
284,ноябрь,1,1,р',2,0,0
285,совхоз,1,1,з,2,0,1
286,совхоз,1,1,з,2,0,1
287,комитет,1,1,т,3,0,1
288,киоск,1,1,к,2,0,1
289,киоск,1,1,к,2,0,1
290,смысл,1,1,л,1,0,1
291,место,1,0,т,1,0,1
