,lema,animacy,gender,finale,n_syll,accent,soft0
181,морг,1,1,г,1,0,1
182,морг,1,1,г,1,0,1
183,морг,1,1,г,1,0,1
184,дом,1,1,м,1,1,1
185,июль,1,1,л',2,0,0
186,дом,1,1,м,1,1,1
187,лагер,1,1,р,2,0,1
188,дом,1,1,м,1,1,1
189,дом,1,1,м,1,1,1
190,колхоз,1,1,з,2,0,1
191,поле,1,0,л',1,0,0
192,трактор,1,1,р,2,0,1
193,комод,1,1,д,2,0,1
194,бибилотёк,1,1,к,4,0,1
195,базар,1,1,р,2,0,1
196,стул,1,1,л,1,0,1
197,север,1,1,р,2,0,1
198,стадион,1,1,н,3,0,1
199,стадион,1,1,н,3,0,1
200,стадион,1,1,н,3,0,1
201,центр,1,1,р,1,0,1
202,центр,1,1,р,1,0,1
203,центр,1,1,р,1,0,1
204,центр,1,1,р,1,0,1
205,центр,1,1,р,1,0,1
206,подвал,1,1,л,2,0,1
207,бензин,1,1,н,2,0,1
208,дом,1,1,м,1,1,1
209,дом,1,1,м,1,1,1
