,lema,0e_num,0y_num,perc,animacy,gender,finale,n_syll,soft0
115,ручей,1.0,0.0,0.0,1,1,й,2,1
116,палисадник,1.0,0.0,0.0,1,1,к,4,1
117,парник,1.0,0.0,0.0,1,1,к,2,1
118,перёд,1.0,0.0,0.0,1,1,д,2,1
119,комбайн,1.0,0.0,0.0,1,1,н,2,1
120,помин,1.0,0.0,0.0,1,1,н,2,1
121,кладбище,1.0,0.0,0.0,1,0,щ',2,0
122,порожек,1.0,0.0,0.0,1,1,к,3,1
123,пригород,1.0,0.0,0.0,1,1,д,3,1
124,прилавок,1.0,0.0,0.0,1,1,к,3,1
125,июль,1.0,0.0,0.0,1,1,л',2,0
126,пузырёк,1.0,0.0,0.0,1,1,к,3,1
127,райком,1.0,0.0,0.0,1,1,м,2,1
128,рубеж,1.0,0.0,0.0,1,1,ж,2,1
129,язык,1.0,0.0,0.0,1,1,к,2,1
130,год,0.0,29.0,1.0,1,1,д,1,1
131,берег,0.0,14.0,1.0,1,1,г,2,1
132,низ,0.0,9.0,1.0,1,1,з,1,1
133,пол,0.0,4.0,1.0,1,1,л,1,1
134,лес,0.0,4.0,1.0,1,1,с,1,1
135,шест,0.0,4.0,1.0,1,1,т,1,1
136,нос,0.0,3.0,1.0,1,1,с,1,1
137,угол,0.0,3.0,1.0,1,1,л,2,1
138,котёл,0.0,3.0,1.0,1,1,л,2,1
139,сад,0.0,3.0,1.0,1,1,д,1,1
140,бок,0.0,3.0,1.0,1,1,к,1,1
141,пень,0.0,2.0,1.0,1,1,н',1,0
142,час,0.0,2.0,1.0,1,1,с,1,1
143,столб,0.0,2.0,1.0,1,1,б,1,1
144,рот,0.0,2.0,1.0,1,1,т,1,1
145,лёд,0.0,2.0,1.0,1,1,д,1,1
146,лог,0.0,2.0,1.0,1,1,г,1,1
147,вал,0.0,1.0,1.0,1,1,л,1,1
148,ноготь,0.0,1.0,1.0,1,1,т',2,0
149,гуж,0.0,1.0,1.0,1,1,ж,1,1
150,бой,0.0,1.0,1.0,1,1,й,1,1
151,ветер,0.0,1.0,1.0,1,1,р,2,1
152,круг,0.0,1.0,1.0,1,1,г,1,1
153,снег,0.0,1.0,1.0,1,1,г,1,1
154,квас,0.0,1.0,1.0,1,1,с,1,1
155,дым,0.0,1.0,1.0,1,1,м,1,1
156,хрестец,0.0,1.0,1.0,1,1,ц,2,1
157,цеп,0.0,1.0,1.0,1,1,п,1,1
158,горб,0.0,1.0,1.0,1,1,б,1,1
