Column1;word;lema;animacy;gender;finale;n_syll;preposition;context
184;году;год;inan;masc;д;1;в;Уже ( ужо ) в шестидесятом году пришёл ( прийшёл )
185;краю;край;inan;masc;й;1;в;И это ( этый ) , и свин там , в том краю живёт , Коля
188;саду;сад;inan;masc;д;1;в;Вот в моём саду
189;году;год;inan;masc;д;1;в;Тата , это уж сколько я , и умер этот ( этый ) папка в восемьдесят пятом году , и я уже привыкла так
191;углу;угол;inan;masc;л;2;на;А теперь на углу она ( ина ) валяется , она никому не надо на поле
192;году;год;inan;masc;д;1;в;А теперичка в этом году некому , никто не приходил
193;бугру;бугор;inan;masc;р;2;на;на бугру сосед , и у этого
194;бугру;бугор;inan;masc;р;2;на;собрались , говорит , на бугру
196;ходу;ход;inan;masc;д;1;на;Ну пополам шли ( ишли ) , на ходу , факелы такие у них были
197;году;год;inan;masc;д;1;в;Этот ( этый ) пошёл в сорок втором году , начало сорок третьего пошёл
198;краю;край;inan;masc;й;1;на;Бывает , когда соседка - там на краю живёт
199;дому;дом;inan;masc;м;1;в;школа была . У него это отдельно жили в дому
201;лесу;лес;inan;masc;с;1;в;А в лесах тут и лисы , тут и эти ( этые ) , и кабаны , тут и косули , тут всего чего , чего хочешь в лесу
202;году;год;inan;masc;д;1;в;В прошлом году у меня вот курицу устягнула
203;лесу;лес;inan;masc;с;1;в;на , в соседней деревне где - то в лесу рысь была , но я это . . чтоб не развелись
204;мосту;мост;inan;masc;т;1;на;Ну и вот перед этой машиной на мосту , вот там у нас мост этот ( этый ) вот , ну внизу там красный
206;посёлку;посёлок;inan;masc;к;3;на;Ну они ( яны ) жили , Поварёнковы эти ( этыя ) на посёлку
207;банку;банк;inan;masc;к;1;в;Я их на книжку , этот ( этый ) , в банку лежат
208;банку;банк;inan;masc;к;1;в;Это всё в банку
209;углу;угол;inan;masc;л;2;в;Вот туалет вот он , вот он , в углу
210;углу;угол;inan;masc;л;2;в;А счетчик , прямо как заходишь в дом , в углу , к той , к сватье
211;кругу;круг;inan;masc;г;1;в;[ нрзб ] дак там танцевали в = в кругу весь , девки все
212;боку;бок;inan;masc;к;1;на;Ну , на , на одном боку жили у этой , рядом
213;боку;бок;inan;masc;к;1;на;А я ж тут ( тута ) была , на этом боку
214;году;год;inan;masc;д;1;в;В пятьдесят девятом году
215;году;год;inan;masc;д;1;в;в пятьдесят девятом году приехала
216;году;год;inan;masc;д;1;в;В шестидесятом году они ( яны ) приехали к нам
217;виду;вид;inan;masc;д;1;в;вот , с вами , я имею в виду , где вы живёте
218;кругу;круг;inan;masc;г;1;в;из другой появится , ну как вот , я думаю , что чем больше общаешься , в кругу
219;году;год;inan;masc;д;1;в;сейчас скажу , в каком я была году [ тоже ] в этом санатории
220;мосту;мост;inan;masc;т;1;на;они с гор спускались , и мы решили там где - то на мосту их тоже встретить
221;виду;вид;inan;masc;д;1;в;Это ж была очень далеко ж мы друг друга , я имею в виду живём , ихнее ж тоже не знаем
