,Column1,word,lema,animacy,gender,finale,n_syll,preposition,context
0,0,автобусе,автобус,inan,masc,с,3,на,"Был , у сына был , но он гов . . . вот , душа не . . . он говорит : не нужна мне машина , я , говорит , лучше на автобусе"
1,1,классе,класс,inan,masc,с,1,в,"Да ну в пятый класс ходила , а уж он в пятом классе был , немецкий - то"
2,2,зале,зал,inan,masc,л,1,в,"Ну и он , ну , это , один в зале , а другой в этом"
3,3,автобусе,автобус,inan,masc,с,3,на,"А тебе до Хлевного , то на хлевенском , на хлевенском надо автобусе , а это вот он липецкий не заходит в Хлевное"
4,4,автобусе,автобус,inan,masc,с,3,на,"А вечером оттэда тогда , какие работают , они все тоже на этом автобусе приезжают домой"
5,5,магазине,магазин,inan,masc,н,3,в,"Но ! Да полотно вот , и в магазине берешь , сколько полотна , говорит , набрала"
6,6,базаре,базар,inan,masc,р,2,на,Потом ещё раз в Москве картошки продавали на каком - то базаре
7,7,рынке,рынок,inan,masc,к,2,на,На Черкизовском рынке
8,8,станке,станок,inan,masc,к,2,на,Выткут на станке - а на реку замачивать эти холсты
9,10,конце,конец,inan,masc,ц,2,на,"Один ворох на одном конце , а другой ворох на втором"
10,11,классе,класс,inan,masc,с,1,в,в третьем классе . .
11,12,языке,язык,inan,masc,к,2,в,Да нет такого слова в русском языке
12,13,конце,конец,inan,masc,ц,2,в,"Базар вон где , в конце этого . . . района , а автостанция"
13,14,огороде,огород,inan,masc,д,3,на,"Нет , на огороде у нас нет , весенки есть , вон там на меже , весенки"
14,15,огороде,огород,inan,masc,д,3,на,"Нет , не лежит , она что - то там делала на огороде"
15,16,огороде,огород,inan,masc,д,3,на,"Ну , вот чего сейчас делать на огороде"
16,17,селе,село,inan,neut,л,1,в,"Ещё в каком - то селе уже , все повырыли"
17,18,Коне,конь,inan,masc,н',1,в,"Из Легощины , в Коне живут , в Коне . . . да , из Легощинских"
18,19,Коне,конь,inan,masc,н',1,в,"Из Легощины , в Коне живут , в Коне . . . да , из Легощинских"
19,20,погребе,погреб,inan,masc,б,2,в,"Там вот в погребе жара , как зайдёшь , так вообще невозможно , < нрзб . >"
20,21,клубе,клуб,inan,masc,б,1,в,И сейчас она работает там в клубе
21,22,классе,класс,inan,masc,с,1,в,"А это было , наверное . . . в третьем классе"
22,23,колхозе,колхоз,inan,masc,з,2,в,И так в колхозе остались и остались
23,24,курсе,курс,inan,masc,с,1,на,"Это уж после , на третьем курсе дали , а так на квартире жил"
24,25,техникуме,техникум,inan,masc,м,3,в,"Это назначили в Конь - Колодезь , этим , ну , в этом , в техникуме , фельдшером"
25,26,Коне,конь,inan,masc,н',1,в,"И там в Коне женился , жена учительницей была"
26,27,огороде,огород,inan,masc,д,3,на,А вон мы на огороде - граблями
27,28,магазине,магазин,inan,masc,н,3,в,"Двенадцать . . . ох , чё - йто в магазине , бывало , покупаешь - надо дюжину взять"
28,29,ведре,ведро,inan,neut,р,1,в,"Да вон ведро , в ведре вон"
29,30,заборе,забор,inan,masc,р,2,на,"Он на котёнка глядит , он на заборе сидит"
30,31,городе,город,inan,masc,д,2,в,А где ж кошки должны лежать ? А в городе они вообще везде лежат
31,32,городе,город,inan,masc,д,2,в,"Не знаю , в городе кошек купают , они там в чистоте"
32,33,доме,дом,inan,masc,м,1,в,"Ой , да сколько передач , этих кошек имеют по тридцать собак имеют в доме , люди жалобы пишут"
33,34,амбаре,амбар,inan,masc,р,2,в,"У нас э . . . была . Потом у дяди Митькиных ребят ночевали , и так она там висела в этом . . . в амбаре , и сопрела"
34,35,амбаре,амбар,inan,masc,р,2,в,В амбаре небось
35,36,сарафанчике,сарафанчик,inan,masc,к,4,в,"ополоскнусь , в сарафан одену , и вот хожу в этом в сарафанчике , всё ж таки хоть этого , тело , а это тёмное"
36,37,совхозе,совхоз,inan,masc,з,2,в,"И вот работал на таких , тут он хоть в совхозе , кладовщиком был . . . потом . ."
37,39,городе,город,inan,masc,д,2,в,"Все в городе , никто не остался , одна я осталась"
38,40,сне,сон,inan,masc,н,1,во,"И вот анады , когда - ть ее я вижу во сне"
39,41,сне,сон,inan,masc,н,1,во,Во сне - то вроде
40,42,городе,город,inan,masc,д,2,в,"Где , эта дочь приедет тут , пригласят , кто - йто там им прополет и все сделает . Она не делала . Будет она тут - в городе . Из города поедет тут"
41,45,числе,число,inan,neut,л,1,в,"Годовой праздник , первый день седьмого , восьмого , девятого , а если попанет воскресенье , оно всегда в числе"
42,46,месяце,месяц,inan,masc,ц,2,в,"А в месяце , а эти числа - то , на месте , а переходят они"
43,47,месте,место,inan,neut,т,1,на,"А в месяце , а эти числа - то , на месте , а переходят они"
44,48,медпункте,медпункт,inan,masc,т,2,в,"А другая , когда еще я родила , она работала в медпункте , где вот сейчас сельсовет , там медпункт там сзади был"
45,49,диване,диван,inan,masc,н,2,на,"Эн да побранятся , тут сидят на диване , эт ( от ) ходит и эт ( а ) ходит"
46,50,масле,масло,inan,neut,л,1,на,"Сейчас - то видишь вон - я давеча - ка читала , не читала , а глядела , как хлеб нажарят дать , чесноком намажут , на масле его нажарят , да чесноком намажут , да ещё чем - то польют , ещё мэнээсом ай чем - то там ещё"
47,51,масле,масло,inan,neut,л,1,на,"Они вкусней не на масле , а вот - свежий жир , к . . . ну , поросёнок , зарежешь , и на свежем жиру они вкусней ещё"
48,52,городе,город,inan,masc,д,2,в,"Это в городе не пойдешь , а тут - то"
49,53,доме,дом,inan,masc,м,1,в,"И просу сеяли в каждом доме , и . . . и толкли в ступе , и пшено - то делать , сейчас пшено - то возят , а тоды - то пшено - то сами обталкивали"
50,55,совхозе,совхоз,inan,masc,з,2,в,"Ну всякие приправы - то бы . . . , ну а это вот мак , это я прям - в совхозе"
51,56,прилавке,прилавок,inan,masc,к,3,на,"Свой есть - сиди на нём , на своём прилавке"
52,57,конике,коник,inan,masc,к,2,на,"На полу там , на конике , где стелят этот войлок"
53,58,магазине,магазин,inan,masc,н,3,в,Да . Тогда не было . Это вот в магазине их сейчас продают
54,59,выезде,выезд,inan,masc,д,2,на,"У него у среднего , Сере . . . у Сережки - вот Мечёк Большой , тут прям , на выезде дом . Дача у него там"
55,60,лагере,лагер,inan,masc,р,2,в,"Она в лагере отбыла , а у нее другая девочка , вот она , эта приехала - она энту проводила . На второй поток она энту проводила"
56,61,столе,стол,inan,masc,л,1,на,"Я встала , пошла , встала , глянула - на столе батон лежит"
57,62,совхозе,совхоз,inan,masc,з,2,в,"Прям сахар , ну вот свёкла , свёкла , сахарная , аж бывало , у нас в совхозе чистишь , ну в колхозе , попанется прям аж кремовая есть"
58,63,колхозе,колхоз,inan,masc,з,2,в,"Прям сахар , ну вот свёкла , свёкла , сахарная , аж бывало , у нас в совхозе чистишь , ну в колхозе , попанется прям аж кремовая есть"
59,64,выщенике,выщеник,inan,masc,к,3,в,"А это , у Клашки тогда в выщенике"
60,65,выщенике,выщеник,inan,masc,к,3,в,"Они в выщенике - выщеник , а тут поляна была"
61,67,бугре,бугор,inan,masc,р,2,на,"Днём разыграется , вроде жарко , корову когда , это , стерегли - то бывалочи - ка на бугре"
62,68,стенде,стенд,inan,masc,д,1,на,"Это фотография передовиков , висела на этом , на стенде"
63,69,селе,село,inan,neut,л,1,в,"А у нас , говорит , в селе дурачок был - Володя"
64,70,селе,село,inan,neut,л,1,в,"Тоже хороший человек ! Я говорю , как ? У нас , говорит , дурачок был , говорит , в селе ! "" Ха - ха - ха ! Не стал называть"
65,71,селе,село,inan,neut,л,1,в,"У нас , вот , Игорей не было , вот Игорь , чтобы звали у нас в селе Игорь"
66,72,помине,помин,inan,masc,н,2,в,"Смеюсь - у нас сейчас Кузьмой даже и в помине никого не называют , все старые имена . Называют : Максимка , Дениска там"
67,73,возрасте,возраст,inan,masc,т,2,в,"Потом это : Степан . У нас таких вот , не было вот раньше вот , как в моем возрасте . Степан - никого , а сейчас Степанов много"
68,74,доме,дом,inan,masc,м,1,в,"Ну , может , она в моём доме никому не должна достаться , эта денежка"
69,75,доме,дом,inan,masc,м,1,в,Никто человек в доме счастливого в этом году не будет
70,76,доме,дом,inan,masc,м,1,в,Вот в этом доме
71,77,численнике,численник,inan,masc,к,3,в,"А родительский день - ну , как - то он у нас в этой , в численнике у нас там написан"
72,78,селе,село,inan,neut,л,1,в,"Это в каком - то где - йто ещё , в каждом селе"
73,79,дворе,двор,inan,masc,р,1,на,"Одна от . . . открыла дверь , была картошка на дворе"
74,82,деле,дело,inan,neut,л,1,на,"И он , наверное , на самом деле принадлежал это , барину какому - нибудь"
75,83,селе,село,inan,neut,л,1,на,"Это если в Журавлевке , вот , внизу , например они там , на низу , на селе , значит - здесь где - то , где - то высоко здесь"
76,84,селе,село,inan,neut,л,1,на,Вот сейчас мы живем на селе
77,85,бугре,бугор,inan,masc,р,2,на,"И у них огороды были . На , на этом бугре"
78,86,доме,дом,inan,masc,м,1,в,"Дом . Вот как вы с горы стали спускаться , и дом - это я в этом доме жила"
79,87,совхозе,совхоз,inan,masc,з,2,в,"Лошади - то они в совхозе то ли были , да"
80,88,совхозе,совхоз,inan,masc,з,2,в,"Да . Лошади только в совхозе были . А когда весной - они , лошади , все в поле"
81,89,поле,поле,inan,neut,л',1,в,"Да . Лошади только в совхозе были . А когда весной - они , лошади , все в поле"
82,90,месте,место,inan,neut,т,1,на,"Вот , а так как этот дом там на этом месте был еще , в архиве сохранились , что хозяин какие - то . ."
83,91,архиве,архив,inan,masc,в,2,в,"Вот , а так как этот дом там на этом месте был еще , в архиве сохранились , что хозяин какие - то . ."
84,92,селе,село,inan,neut,л,1,в,То есть в каждом в своём селе . . . А у вас чем
85,93,Ельце,елец,inan,masc,ц,2,в,В Ельце вот это макраме
86,94,огороде,огород,inan,masc,д,3,на,"И а где , он где - нибудь в траве лежит , может на огороде , а может где , хрен его знает . Они вон и по палисадникам лазают"
87,95,корыте,корыто,inan,neut,т,2,в,"Видно , летом - на реку , а зимой - в корыте дома"
88,96,совхозе,совхоз,inan,masc,з,2,в,Короб ? Вот я в совхозе работала . .
89,97,совхозе,совхоз,inan,masc,з,2,в,"Да деревянный , да специально в совхозе там или колхозе сделают и меряют"
90,98,колхозе,колхоз,inan,masc,з,2,в,"Да деревянный , да специально в совхозе там или колхозе сделают и меряют"
91,99,звене,звено,inan,neut,н,1,в,"В одном звене там десять , девять человек , по восемь человек бывает в звеньях"
92,100,звене,звено,inan,neut,н,1,в,"Кучек начистишь в звене , и вот так поперемеряют"
93,101,колхозе,колхоз,inan,masc,з,2,в,"Да они были в колхозе . Да там приблизительно пойдут , выроют , там , сколько соток . От соток"
94,102,пуде,пуд,inan,masc,д,1,в,"Ну а в пуде - да , в пуде шестнадцать килограмм"
95,103,пуде,пуд,inan,masc,д,1,в,"Ну а в пуде - да , в пуде шестнадцать килограмм"
96,104,центнере,центнер,inan,masc,р,2,в,Десять центнеров . В центнере - сто килограмм ! Ты поняла ?
97,105,огороде,огород,inan,masc,д,3,на,"И всё сами . Не нуждались , конопи на огороде сеяли , лён - на огороде . Все мяли , толкли в ступе . И пряли"
98,106,огороде,огород,inan,masc,д,3,на,"И всё сами . Не нуждались , конопи на огороде сеяли , лён - на огороде . Все мяли , толкли в ступе . И пряли"
99,107,огороде,огород,inan,masc,д,3,на,"Тогда бывалочи - ка никакой хлеб никто никому не давал , а на огороде просо посеют , ржи посеют"
100,108,поле,поле,inan,neut,л',1,в,Мало . А давали тогда еще в поле
101,109,поле,поле,inan,neut,л',1,в,"Намеряли , там , кому сколько , я вот не знаю , в поле какая : поровну отмеряли всем , я не знаю вот"
102,110,выгоне,выгон,inan,masc,н,2,на,"нет , энтот был - Речной , вот там , на выгоне , был такой Жук - Полевой"
103,111,гитанчике,гитанчик,inan,masc,к,3,на,"Нет . Это вот . . . Это на гитанчике , она там на жилочке , я насажала , ниточке"
