,Column1,word,lema,animacy,gender,finale,n_syll,preposition,context
163,173,доме,дом,inan,masc,м,1,в,"Не я - она сама . Она , вода - в доме у нас . Вон , на кухне . Угу"
164,174,клубе,клуб,inan,masc,б,1,в,Не мы - а вот в клубе тогда собирались
165,175,огороде,огород,inan,masc,д,3,на,"Да директриса ездила , какие - то там , я не знаю эти , чего - то , говорит , на огороде работают"
166,176,августе,август,inan,masc,т,2,в,"Живы , пчёлы вот чего им . Может , может в августе натаскают"
167,177,доме,дом,inan,masc,м,1,в,"Люб , вода у меня в доме давно"
168,178,аккордеоне,аккордеон,inan,masc,н,4,на,"У неё голос хороший , она на гитаре , на этой , как её , на аккордеоне играла"
169,179,смысле,смысл,inan,masc,л,1,в,"Он не . . . ну , такая она глупая вот в этом смысле , в этом смысле"
170,180,смысле,смысл,inan,masc,л,1,в,"Он не . . . ну , такая она глупая вот в этом смысле , в этом смысле"
171,181,селе,село,inan,neut,л,1,в,"Кнопка , кнопка , маленькая , говорят кнопка вон , собачка - то эта в селе кнопка , ну и это вот кнопка , вот это"
172,182,классе,класс,inan,masc,с,1,в,"Приехала с это , ещё дочь была я не знаю , в каком , либо в восьмом классе училась или в седьмом , я с ней поехала туда к ним в эту Ригу - то , в Латвию - то"
173,183,этаже,этаж,inan,masc,ж,2,на,"Тёть Ань , на пятом этаже живёшь , говорит , у вас лифта нет , говорит , как же ты на пятый этаж - то , говорит , это , подымаешься - ей"
174,184,огороде,огород,inan,masc,д,3,на,"Да надо вот на огороде чего - то этого , сажать , вот ягоду , ягода дорогая"
175,185,городе,город,inan,masc,д,2,в,"Я привыкла в городе , а , ну привыкла , так язык не , не бреши , я говорю"
176,186,детстве,детство,inan,neut,в,1,в,"А за чего сидел ? Велосипед украл в детстве , я не знаю , четрынадцать лет ему было , пятнадцать"
177,187,доме,дом,inan,masc,м,1,в,"Тогда он тут воспитывался , свекровья была живая , у нас вот в доме"
178,188,доме,дом,inan,masc,м,1,в,"А у них туалет в доме , а у меня туалета нету . А она полненная - страх какая , эта с . . . я полная , а она этого , во мне восемьдесят пять , а в ней сто пятнадцать килограмм"
179,189,доме,дом,inan,masc,м,1,в,"И вот сейчас в доме прям , выходишь вон , крышку откроешь < туда >"
