,word,lema,animacy,gender,finale,n_syll,preposition,context,accent
84,августе,август,inan,masc,т,2,в,"Да - да , в августе , в августе ему делали . Вот осенью порезали этих , говорю - надо ж нам . . . Нет , хватит , все , хватит , и больше нам не стали давать брать - покупать , держите во курей",-
85,Есенке,есёнок,anim,masc,к,3,на,"Я говорю , на Кулиге попытала - нетути , на Есенке попытала - нету , вот , у них свои стада",-
86,стаде,стадо,inan,neut,д,1,в,"Ты , так ты Фролова жена ! Садись завтракать ! "" "" Не до завтрака мне , я пришла , говорю , у вас , говорят , баран чужой есть ? "" "" Есть у нас баран , только он с нашими овцами в стаде , пошел в стадо """,-
87,магазине,магазин,inan,masc,н,3,в,"Ну , теперь же надо мне брать . . . Захожу в магазин , это прямо как с оттуда шла , беру в магазине в долг конфет полкилогамма , полкилограмма печеньев , дома наливаю бутылку самогонки , подхватываюсь",-
88,дворе,двор,inan,masc,р,1,на,Это ж не на улице ходят . И пусть бы на дворе стояли к делу,-
89,поле,поле,inan,neut,л',1,в,"В поле , гоняли ж в поле ходят , все . Ну вот она у нас покрылась < нрзб . > , это телиться ей пятым отелом",-
90,поле,поле,inan,neut,л',1,в,"В поле , гоняли ж в поле ходят , все . Ну вот она у нас покрылась < нрзб . > , это телиться ей пятым отелом",-
91,поле,поле,inan,neut,л',1,в,"Выгнали в поле , выгнали в поле , все , < лежим > , к нам приходят : "" Вашу корову парализовало",-
92,поле,поле,inan,neut,л',1,в,"Выгнали в поле , выгнали в поле , все , < лежим > , к нам приходят : "" Вашу корову парализовало",-
93,марте,март,inan,masc,т,1,в,"А эта , с этой осталась , и эта вот знаю , что она отелилась в марте , но что она билась",-
94,поле,поле,inan,neut,л',1,в,"Ну а что делать ? Докуда мне их брать ? Пусть , что будет , пусть стоит , пусть , в поле не ходила , < нрзб . > никого",-
95,поле,поле,inan,neut,л',1,в,"Полдни вот тут вот , у нас обычно в полдни ходим в поле доим",-
96,поле,поле,inan,neut,л',1,на,"На боли , на поле . Я говорю : "" Да что , я не поверю ! Корова веселая была , хорошая , подоила , молоко все отдала мне , я ж чувствую """,-
97,поле,поле,inan,neut,л',1,на,"Фрол , я , ветеринар поехали . Поехали прямо на поле - лежит",-
98,колхозе,колхоз,inan,masc,з,2,в,Ну тут уж надо брать в колхозе,-
99,колхозе,колхоз,inan,masc,з,2,в,"В колхозе берем , взяла коро . . . корову , прямо чтоб с молоком",-
100,журнале,журнал,inan,masc,л,2,в,"А , они еще , там через Калугу , там сколько было ее , даже и в журнале , и в газете это все написать ; она секретарем работала , не такая - то как я телятница или доярка , вот",-
101,доме,дом,inan,masc,м,1,в,"Зачем я , говорю , на себя , Фрол , ты ж хозяин в доме ? Как я буду на себя оформлять , я этого не могу сделать так",c
102,стаде,стадо,inan,neut,д,1,в,"Нет , и все , нам осеменатор , нам нужны быки , если вам нужно , говорит , молоко , нужны телята , то пусть у нас ходят в стаде быки и пусть коров кроют быки , но не осеменатор , и все . Вот",-
103,стаде,стадо,inan,neut,д,1,в,"Ну , может , и есть и . . . может , и покр . . . как , с быком она покроется , она день ходит с ним в стаде",-
104,дворе,двор,inan,masc,р,1,на,"Вот она корове - то аппарат подключ . . . этой , не так она аппаратом , как она руками , она особо и доить - то еще не . . . не особо умела , ей подсказывала сваха все , на одном дворе они со свахою были",-
105,феврале,февраль,inan,masc,л',2,в,"Вот , это она была , она у меня была на семидесятилетии даже , на семидесятипятилетии , она приезжала ко мне , она ко мне и летосе в феврале она приезжала , эта вот",-
106,колхозе,колхоз,inan,masc,з,2,в,"Да , вот это в колхозе я называла сама",-
107,поле,поле,inan,neut,л',1,в,"В поле стерегут коров , телка отелится или что , тогда уже она от теленка не отойдет",-
108,недостатке,недостаток,inan,masc,к,4,в,"И он приходит , ну , раз жили бедно , жили мы в недостатке , и он прихо . . . а был бригадиром , он потом поше . . . был в председателях",-
109,торфе,торф,inan,masc,ф,1,на,"Я девятнадцати замуж вышла , ну я восемнадцать лет мне было , я поехала , на торфе пробыла , я поехала уже себе зарабатывать",c
110,месяце,месяц,inan,masc,ц,2,в,"Поедем . Вот я поехала , сезон я там отработала . Во сколько бы . . . в каком месяце , а в мае месяце , видно , поехали мы",-
111,месяце,месяц,inan,masc,ц,2,в,"Поедем . Вот я поехала , сезон я там отработала . Во сколько бы . . . в каком месяце , а в мае месяце , видно , поехали мы",-
112,начале,начало,inan,neut,л,2,в,"Да , в мае , в начале мая . Вот май , июнь , июль и август , сентябрь , в октябре или в ноябре мы приехали",-
113,октябре,октябрь,inan,masc,р',2,в,"Да , в мае , в начале мая . Вот май , июнь , июль и август , сентябрь , в октябре или в ноябре мы приехали",-
114,ноябре,ноябрь,inan,masc,р',2,в,"Да , в мае , в начале мая . Вот май , июнь , июль и август , сентябрь , в октябре или в ноябре мы приехали",-
115,дворе,двор,inan,masc,р,1,на,"Лошадь ночует она у нас , сено осталяем , на дворе она у нас дома ночует",-
116,скирде,скирд,inan,masc,д,1,в,"И все , я , говорит , только иду : Господи , только чтобы мне хоть бы напалась скирда , чтобы я переночевал в скирде """,-
117,скирде,скирд,inan,masc,д,1,в,"И так - то где он , в скирде ли он был , или он шатался всю ночь , ну по - видимому , в скирде",-
